ticker,cik,company_name,form,file_date,period_ending,accession_no,filename,doc_url
AAPL,0000320193,Apple Inc.  (AAPL)  (CIK 0000320193),10-K,2025-10-31,2025-09-27,0000320193-25-000079,aapl-20250927.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
AAPL,0000320193,Apple Inc.  (AAPL)  (CIK 0000320193),10-K,2024-11-01,2024-09-28,0000320193-24-000123,aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
AAPL,0000320193,Apple Inc.  (AAPL)  (CIK 0000320193),10-K,2023-11-03,2023-09-30,0000320193-23-000106,aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
AAPL,0000320193,Apple Inc.  (AAPL)  (CIK 0000320193),10-K,2022-10-28,2022-09-24,0000320193-22-000108,aapl-20220924.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
AAPL,0000320193,Apple Inc.  (AAPL)  (CIK 0000320193),10-K,2021-10-29,2021-09-25,0000320193-21-000105,aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
AAPL,0000320193,Apple Inc.  (AAPL)  (CIK 0000320193),10-K,2020-10-30,2020-09-26,0000320193-20-000096,aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
AAPL,0000320193,Apple Inc.  (AAPL)  (CIK 0000320193),10-K,2019-10-31,2019-09-28,0000320193-19-000119,a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
AAPL,0000320193,APPLE INC  (AAPL)  (CIK 0000320193),10-K,2018-11-05,2018-09-29,0000320193-18-000145,a10-k20189292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
AAPL,0000320193,APPLE INC  (AAPL)  (CIK 0000320193),10-K,2017-11-03,2017-09-30,0000320193-17-000070,a10-k20179302017.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
AAPL,0000320193,APPLE INC  (AAPL)  (CIK 0000320193),10-K,2016-10-26,2016-09-24,0001628280-16-020309,a201610-k9242016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
AAPL,0000320193,APPLE INC  (AAPL)  (CIK 0000320193),10-K,2015-10-28,2015-09-26,0001193125-15-356351,d17062d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
